"","id","text"
"320",1391,"Joint communique havana july"
"321",817,"Hacia nuevo campo colombiano reforma rural integral"
"322",815,"Solucion problema drogas ilicitas"
"323",812,"Participacion politica apertura democratica construir paz"
"324",786,"General agreement termination conflict construction stable lasting peace"
"325",827,"Acuerdo gobierno ejercito revolucionario guevarista erg"
"326",146,"Acuerdo gobierno nacional autodefensas unidas colombia zona ubicacion tierralta acuerdo fatima"
"327",167,"Sante fe ralito accord contribute peace colombia"
"328",153,"Acuerdo acompanamiento nacional internacional mesa dialogo negociacion"
"329",1144,"Acuerdo metodologia trabajo gobierno nacional farcep"
"330",157,"Acuerdo cronograma consenso futuro proceso paz"
"331",1151,"Declaracion habana gobierno nacionaleln"
"332",159,"Acuerdo colombia gobierno colombiano ejercito liberacion nacional eln reiniciar dialogo uns agenda transicion"
"333",154,"Acuerdo san francisco sombra concretar consolidar proceso paz"
"334",1150,"Acta reunion exploratoria realizada gobierno nacional eln"
"335",170,"Acuerdo gobierno nacional farcep acuerdo humanitario"
"336",1142,"Declaracion paises organismos internacionales encuentro mesa nacional dialogos negociacion apoyo salida politica negociada"
"337",1141,"Acuerdo reglamento comision facilitadora internacional comunicado mesa nacional dialogos negociacion"
"338",1140,"Creacion comision facilitadora grupo paises amigos organismos internacionales comunicado mesa nacional dialogos negociacion"
"339",1138,"Reanudacion proceso crea comision auxiliar casos especiales comunicado mesa nacional dialogos negociacion"
"340",145,"Acuerdo pozos"
"341",184,"Declaracion aguas lindas"
"342",1146,"Acuerdo reglamento zona encuentro gobierno nacionaleln"
"343",1543,"Acuerdo reglamento verificacion zona encuentro gobierno nacionaleln"
"344",1126,"Acuerdo conformacion frente comun paz violencia"
"345",1149,"Acuerdo gobierno nacional eln compromiso terminos guerrilla libere civiles retenidos"
"346",174,"Comunicado publico declaracion san jose costa rica"
"347",1137,"Respaldo fuerzas politicas proceso paz comunicado "
"348",172,"Declaracion ginebra"
"349",1136,"Intercambio propuestas cese fuego comunicado mesa nacional dialogos negociacion"
"350",1139,"Declaracion paises organismos internacionales audiencia publica internacional medio ambiente cultivos ilicitos"
"351",1134,"Reglamento audiencias publicas comunicado mesa nacional dialogos negociacion"
"352",1135,"Acuerdo discusion modelo desarrollo economico social comunicado mesa nacional dialogos negociacion"
"353",160,"Communicado farcgobierno viaje europa marzo "
"354",161,"Communicado farcgobierno viaje europa febrero "
"355",183,"Communicado farcgobierno viaje europa febrero "
"356",1133,"Metodologia tematica discusiones comunicado mesa nacional dialogos negociacion"
"357",1132,"Declaracion tregua unilateral temporada fin den ano farcep"
"358",165,"A pesar dificultades logramos historicos avances communicado mesa dialogos negociacion"
"359",176,"Communicado mesa dialogos negociacion"
"360",177,"Communicado mesa dialogos negociacion"
"361",178,"Acuerdo audiencias publicas communicado mesa dialogos negociacion"
"362",179,"Acuerdo metodologia communicado mesa dialogos negociacion"
"363",180,"Acuerdo comunicados conjuntos communicado mesa dialogos negociacion"
"364",1148,"Acta reunion comision humanitaria gobierno voceria eln gestiones liberar secuestrados"
"365",155,"Acuerdo agenda comun cambio hacia nueva colombia gobierno nacionalfarcep"
"366",1131,"Acuerdo mesa nacional negociacion comite tematico nacional"
"367",162,"Comunicado presidente andres pastrana manuel marulanda farc acuerdo caquetania"
"368",1130,"Acuerdo partidos congreso gobierno farc politica paz lucha paramilitarismo"
"369",1129,"Comunicado ° plan desarrollo alternativo sustitucion cultivos ilicitos"
"370",1128,"Comunicado ° mecanismo unico informacion"
"371",1127,"Declaracion conjunta gobierno nacional farcep instalar mesa dialogo"
"372",1145,"Acta acuerdo reunion preparatoria convencion nacional gobierno nacionaleln"
"373",150,"Acuerdo final gobierno nacional gobernacion antioquia alcaldia medellin movimiento independiente revolucionariocomandos armados mircoar"
"374",156,"Acuerdo puerta cielo"
"375",171,"Declaracion viana gobierno nacionaleln acommpanamiento ccn comon testigo gobierno espana"
"376",1034,"Acuerdo liberacion delegados oea agreement liberation detained oas delegates"
"377",1122,"Acuerdo remolinos caguan joaquin gomez fabian ramirez comandantes bloque farcep delegados gobierno jose noe rios carlos vicente roux delegados cruz roja monsenor luis augusto castro"
"378",1124,"Preacuerdo gobierno nacional mircoar"
"379",1121,"Comunicado comisiones facilitadora verificadora proceso paz movimiento jaime bateman cayon"
"380",1120,"Primer acuerdo gobierno nacional movimiento jaime bateman cayon bases negociacion"
"381",1119,"Compromisos retenes comision verificadora gobierno nacional mjbc"
"382",1118,"Comunicado gobierno nacionalmjbc definimos area distension"
"383",1117,"Primera declaracion conjunta gobierno nacional movimiento jaime bateman cayon"
"384",148,"Acuerdo politico final gobierno nacional frente francisco garnica coordinadora guerrillera"
"385",919,"Comunicado gobierno nacional frente francisco garnica"
"386",147,"Acuerdo paz convivencia ciudadana gobierno nacional departamental municipal melicias populares pueblo pueblo milicias independientes valle aburra milicias metropolitanas ciudad medellin"
"387",173,"Acuerdo politico final gobierno nacional corriente renovacion socialista"
"388",1111,"Acuerdo inicial gobierno nacional milicias populares pueblo pueblo milicias populares independientes valle aburra"
"389",1110,"Acuerdo general gobierno corriente renovacion socialista flor monte"
"390",1341,"Acuerdo gobierno nacionalcrs flor monte"
"391",1109,"Comunicado conjunto gobiernocgsb gobierno ofrece garantias mexico apoya retorno negociadores cgsb bogotatlaxcala"
"392",164,"Acuerdo comandos ernesto rojas gobierno nacional protocolo adhesion acuerdo paz epl"
"393",1108,"Declaracion conjunta comision paz camara cgsb tlaxcala"
"394",1107,"Comunicado comisiones negociadoras gobierno cgsb agenda temas"
"395",1106,"Comunicado comisiones negociadoras gobierno cgsb reinicio dialogo mexico"
"396",1105,"Comunicado conjunto comisiones negociadoras gobierno cgsb aplazamiento conversaciones"
"397",1104,"Acta resumen reuniones gobierno colombia cgsb"
"398",1103,"Comunicado gobiernocgsb acuerdo sesiones prensa vocerias testigo internacional tercera ronda caracas"
"399",1102,"Comunicado conjunto gobiernocgsb acuerdo garantias traslados comision negociadora cgsb santafe bogotacaracas"
"400",163,"Political constitution colombia"
"401",1101,"Acuerdo veedurias segunda ronda conversaciones gobiernocgsb caracas"
"402",1100,"Comunicado gobiernocgsb finalizacion primera ronda conversaciones caracas"
"403",166,"Declaracion gobierno cgsb primera ronda conversaciones caracas agenda"
"404",151,"Acuerdo final gobierno nacional movimieto armado quintin lame campamento pueblo nuevo caldonocauca"
"405",158,"Acuerdo crave norte gobierno nactional cgsb"
"406",1098,"Acuerdo consejeria paz comision negociadora maql mesa togoima paez cauca"
"407",149,"Acuerdo final gobierno nacional ejercito popular liberacion epl"
"408",1093,"Acuerdo gobierno nacional ejercito popular liberacion"
"409",1092,"Declaracion gobierno nacional pcc ml epl juan jose cordoba"
"410",152,"Acuerdo final gobierno nacional partido revolucionario trabajadores don gabriel ovejas sucre"
"411",1096,"Acta interna acuerdo gobierno prt ovejas sucre"
"412",1091,"Acta compromiso gobierno nacional epl"
"413",1094,"Declaracion conjunta gobierno nacional prt don gabriel ovejas sucre"
"414",1095,"Acuerdo general gobierno nacional partido revolucionario trabajadores don gabriel ovejas sucre"
"415",1099,"Declaracion cgsb comision exploratoria paz dialogo directo uribe meta"
"416",1090,"Acuerdo normas fundamentales campamentos paz eplgobierno nacional"
"417",1089,"Acuerdo gobierno nacionalepl pcc ml labores belmira antioquia"
"418",1088,"Acuerdo pcc ml epl quintin lame prt partidos politicos signatarios acuerdo constituyente"
"419",1097,"Acuerdo gobierno nacional movimiento armado quintin lame cauca"
"420",920,"Acuerdo gobierno nacional ejecito popular liberacion pueblo nuevo juan jose"
"421",168,"Political agreement national government political parties catholic church moral spiritual guardian processspanish acuerdo politico gobierno nacional partidos politicos iglesia catolica calidad tutora moral espiritual proceso"
"422",1083,"Declaracion principios mecanismo cooperacion colombia venezuela"
"423",801,"Accord gestion periode interimaire"
"424",618,"Agreement transitional arrangements comoros maroni agreement"
"425",1334,"Comoross constitution "
"426",1715,"Communique commun delegation danjouan moheli sous commission lois"
"427",621,"General agreement national reconciliation fomboni agreement"
"428",619,"The joint declaration fomboni"
"429",620,"Accords dantananarivo"
"430",1035,"Addis ababa agreement"
"431",887,"Montelimar declaration"
"432",720,"Fourth supplementary agreement ouagadougou political agreement"
"433",674,"Deuxieme accord complementaire laccord politique ouagadougou"
"434",673,"Troisieme accord complementaire laccord politique ouagadougou"
"435",1261,"Premier accord complementaire laccord politique ouagadougou"
"436",119,"Ouagadougou political agreement"
"437",701,"Un security council resolution"
"438",536,"Un security council resolution"
"439",363,"Declaration implementation pretoria agreement peace process cote divoire pretoria ii"
"440",489,"Pretoria agreement peace process cote divoire pretoria "
"441",210,"Accra iii agreement cote divoire"
"442",421,"Joint declaration defence security forces cote divoire armed forces forces nouvelles"
"443",200,"Accord cessezlefeu"
"444",195,"Accord accra ii ghana crise cote divoire"
